timestamp,robot,x,y,z,qx,qy,qz,qw,vx,vy,vz,wx,wy,wz
0.204,robot_1,600.0,400.0,7.560512,-1.754383930941116e-17,-1.809384852813912e-18,3.3855541341999503e-21,100.0,-0.6343289193841033,-0.16389319929609503,-27.148937930643502,-0.04424423682898355,1.413192304657101,1.519637363883538
0.224,robot_1,600.0,400.0,6.775712,2.6037554662014557e-18,5.165094280448578e-18,9.978565450834874e-20,100.0,1.2230309176918828,1.6663665906618064,-47.156100477252,-0.013122539473653662,-0.5530771908094796,0.4798945773737254
0.244,robot_1,600.0,400.0,5.5985119999999995,7.645442613025791e-18,5.0774525159052934e-18,1.713441560796067e-19,100.0,0.30267202233501334,-1.9785880580349464,-66.97046303353801,1.3862473495297765,1.2357569567381224,0.039374157403969
0.284,robot_1,600.0,400.0,2.0669119999999963,3.9681262512180905e-17,5.807580494770164e-18,3.436949276614046e-19,100.0,-0.4656280682204788,0.4736476755284636,-107.17263547944529,0.8656968667997818,-0.4232371503206956,0.9839483408825569
0.304,robot_1,600.0020996842126,400.0054289996675,0.7456096195384,0.04230718123419345,0.043388252498158496,-0.15010979636040456,99.99986897296917,2.5966001053392933,-0.3827319392986919,4.726286729537968,3.004039165278425,4.0426464878834585,-41.49883531638288
0.324,robot_1,600.008504305347,400.01405405033694,0.8171449752417358,0.027244420235410228,0.023669370407338894,-0.5640890257551195,99.99840249260731,1.115350599916231,0.45040771320934947,0.21148502701317795,-1.4359506421848018,-2.8475419216988493,-39.97547135476605
0.344,robot_1,600.0106723197053,400.02330223087836,0.8355489722106192,0.006192557196187303,0.011220438298744634,-0.8499899223998479,99.99638669914937,0.08638100991674365,0.8787484717527206,-0.9406603259666296,0.16704438940393293,-1.9954372266694012,-22.940546816373615
0.364,robot_1,600.011581140472,400.03474044135345,0.8337489199693768,-0.010537607750836469,0.011172007062623971,-0.9966665684647892,99.99503197607562,0.8682846140953808,1.219064809589705,-2.3909945719899315,-1.7563858313635727,0.5028289567906001,-10.889975714594742
0.384,robot_1,600.0124390501151,400.0471132509805,0.8240292454620092,-0.028962208939765567,0.015597340676759325,-1.0497156607103661,99.994484922645,0.09666033724341977,-0.5824265090507297,-2.035133877826728,-3.5919954357021195,-0.2053735263908574,-3.1827171585114713
0.404,robot_1,600.0144822081653,400.05837295561133,0.8155609668428133,-0.03577046092276298,0.025181709155880305,-1.0437325344723547,99.99454339488797,-1.2347167874043286,1.3158312881266478,-1.1017644422342927,-3.3214797668458917,1.9919043207763092,1.6787765385531221
0.424,robot_1,600.0169159611048,400.0690518792606,0.8129263044154535,-0.03594798469377291,0.027557509527074232,-0.9986367401662196,99.99500324009823,0.07504212554032379,2.1848881601629584,-1.7113961498947692,0.007353232573779466,0.2652889571030079,6.295289957105564
0.444,robot_1,600.0169122036834,400.07732034873385,0.8117461689306879,-0.03728102317590041,0.029593692482825323,-0.9322999386030215,99.99564266088376,-1.110136851113651,-0.8497950595274182,-2.9602936501916624,-2.3841999068687088,-0.8500355101953988,7.501854685635746
0.464,robot_1,600.018423802193,400.08098459344757,0.8112996785032935,-0.03165451965247098,0.022827213400543146,-0.8585795522295995,99.99630652210215,0.060948124287965894,1.7197923416595602,-0.8414657955527326,0.34288972068749063,1.2741052968232605,7.994697402003181
0.484,robot_1,600.0212087595968,400.07999043942897,0.8060490250877683,-0.0268626972659381,0.0048121884295116955,-0.7930417745391167,99.99685165035035,1.2841265709195626,-1.9000513889720134,-1.5794835346766383,-3.3272881331895614,0.9656066069717868,7.577993693265336
