timestamp,robot,cmd_vx,cmd_vy,cmd_vz,cmd_wx,cmd_wy,cmd_wz
3.732,robot_1,0.0,0.0,0.0,0.0,0.0,2.8
3.74,robot_1,0.0,0.0,0.0,0.0,0.0,2.8
3.748,robot_1,0.0,0.0,0.0,0.0,0.0,2.8
3.76,robot_1,0.0,0.0,0.0,0.0,0.0,2.8
3.768,robot_1,0.0,0.0,0.0,0.0,0.0,2.8
3.776,robot_1,0.0,0.0,0.0,0.0,0.0,2.8
3.784,robot_1,0.0,0.0,0.0,0.0,0.0,2.8
3.792,robot_1,0.0,0.0,0.0,0.0,0.0,2.8
3.7960000000000003,robot_1,0.0,0.0,0.0,0.0,0.0,2.8
3.8,robot_1,0.0,0.0,0.0,0.0,0.0,2.8
3.8040000000000003,robot_1,0.0,0.0,0.0,0.0,0.0,2.8
3.808,robot_1,0.0,0.0,0.0,0.0,0.0,2.8
3.8120000000000003,robot_1,0.0,0.0,0.0,0.0,0.0,2.8
3.816,robot_1,0.0,0.0,0.0,0.0,0.0,2.8
3.82,robot_1,0.0,0.0,0.0,0.0,0.0,2.8
3.824,robot_1,0.0,0.0,0.0,0.0,0.0,2.8
3.824,robot_1,0.0,0.0,0.0,0.0,0.0,2.8
3.828,robot_1,0.0,0.0,0.0,0.0,0.0,2.8
3.832,robot_1,0.0,0.0,0.0,0.0,0.0,2.8
3.836,robot_1,0.0,0.0,0.0,0.0,0.0,2.8
3.84,robot_1,0.0,0.0,0.0,0.0,0.0,2.8
3.844,robot_1,0.0,0.0,0.0,0.0,0.0,2.8
3.848,robot_1,0.0,0.0,0.0,0.0,0.0,2.8
3.852,robot_1,0.0,0.0,0.0,0.0,0.0,2.8
3.852,robot_1,0.0,0.0,0.0,0.0,0.0,2.8
3.856,robot_1,0.0,0.0,0.0,0.0,0.0,2.8
3.86,robot_1,0.0,0.0,0.0,0.0,0.0,2.8
3.864,robot_1,0.0,0.0,0.0,0.0,0.0,2.8
3.868,robot_1,0.0,0.0,0.0,0.0,0.0,2.8
3.872,robot_1,0.0,0.0,0.0,0.0,0.0,2.8
3.876,robot_1,0.0,0.0,0.0,0.0,0.0,2.8
3.876,robot_1,0.0,0.0,0.0,0.0,0.0,2.8
3.88,robot_1,0.0,0.0,0.0,0.0,0.0,2.8
3.888,robot_1,0.0,0.0,0.0,0.0,0.0,2.8
3.892,robot_1,0.0,0.0,0.0,0.0,0.0,2.8
3.896,robot_1,0.0,0.0,0.0,0.0,0.0,2.8
3.908,robot_1,0.0,0.0,0.0,0.0,0.0,2.8
3.916,robot_1,0.0,0.0,0.0,0.0,0.0,2.8
3.924,robot_1,0.0,0.0,0.0,0.0,0.0,2.8
3.928,robot_1,0.0,0.0,0.0,0.0,0.0,2.8
3.932,robot_1,0.0,0.0,0.0,0.0,0.0,2.8
3.936,robot_1,0.0,0.0,0.0,0.0,0.0,2.8
3.94,robot_1,0.0,0.0,0.0,0.0,0.0,2.8
3.944,robot_1,0.0,0.0,0.0,0.0,0.0,2.8
3.948,robot_1,0.0,0.0,0.0,0.0,0.0,2.8
3.952,robot_1,0.0,0.0,0.0,0.0,0.0,2.8
3.956,robot_1,0.0,0.0,0.0,0.0,0.0,2.8
3.96,robot_1,0.0,0.0,0.0,0.0,0.0,2.8
3.964,robot_1,0.0,0.0,0.0,0.0,0.0,2.8
3.968,robot_1,0.0,0.0,0.0,0.0,0.0,2.8
3.972,robot_1,0.0,0.0,0.0,0.0,0.0,2.8
3.972,robot_1,0.0,0.0,0.0,0.0,0.0,2.8
3.976,robot_1,0.0,0.0,0.0,0.0,0.0,2.8
3.98,robot_1,0.0,0.0,0.0,0.0,0.0,2.8
3.984,robot_1,0.0,0.0,0.0,0.0,0.0,2.8
