timestamp,robot,cmd_vx,cmd_vy,cmd_vz,cmd_wx,cmd_wy,cmd_wz
1.46,robot_1,2.8,0.0,0.0,0.0,0.0,0.0
2.592,robot_1,0.0,0.0,0.0,0.0,0.0,0.0
2.96,robot_1,0.0,0.0,0.0,0.0,0.0,-2.8
3.584,robot_1,0.0,0.0,0.0,0.0,0.0,0.0
3.956,robot_1,2.8,0.0,0.0,0.0,0.0,0.0
5.112,robot_1,0.0,0.0,0.0,0.0,0.0,0.0
5.5,robot_1,0.0,0.0,0.0,0.0,0.0,-2.8
6.124,robot_1,0.0,0.0,0.0,0.0,0.0,0.0
6.436,robot_1,2.8,0.0,0.0,0.0,0.0,0.0
7.552,robot_1,0.0,0.0,0.0,0.0,0.0,0.0
7.912,robot_1,0.0,0.0,0.0,0.0,0.0,-2.8
8.528,robot_1,0.0,0.0,0.0,0.0,0.0,0.0
8.84,robot_1,2.8,0.0,0.0,0.0,0.0,0.0
9.975999999999999,robot_1,0.0,0.0,0.0,0.0,0.0,0.0
