timestamp,robot,cmd_vx,cmd_vy,cmd_vz,cmd_wx,cmd_wy,cmd_wz
1.6640000000000001,robot_1,2.8,0.0,0.0,0.0,0.0,0.0
1.6720000000000002,robot_1,2.8,0.0,0.0,0.0,0.0,0.0
1.6760000000000002,robot_1,2.8,0.0,0.0,0.0,0.0,0.0
1.6800000000000002,robot_1,2.8,0.0,0.0,0.0,0.0,0.0
1.688,robot_1,2.8,0.0,0.0,0.0,0.0,0.0
1.692,robot_1,2.8,0.0,0.0,0.0,0.0,0.0
1.696,robot_1,2.8,0.0,0.0,0.0,0.0,0.0
1.696,robot_1,2.8,0.0,0.0,0.0,0.0,0.0
1.7,robot_1,2.8,0.0,0.0,0.0,0.0,0.0
1.704,robot_1,2.8,0.0,0.0,0.0,0.0,0.0
1.712,robot_1,2.8,0.0,0.0,0.0,0.0,0.0
1.716,robot_1,2.8,0.0,0.0,0.0,0.0,0.0
1.728,robot_1,2.8,0.0,0.0,0.0,0.0,0.0
1.732,robot_1,2.8,0.0,0.0,0.0,0.0,0.0
1.736,robot_1,2.8,0.0,0.0,0.0,0.0,0.0
1.74,robot_1,2.8,0.0,0.0,0.0,0.0,0.0
1.744,robot_1,2.8,0.0,0.0,0.0,0.0,0.0
1.748,robot_1,2.8,0.0,0.0,0.0,0.0,0.0
1.752,robot_1,2.8,0.0,0.0,0.0,0.0,0.0
1.756,robot_1,2.8,0.0,0.0,0.0,0.0,0.0
1.76,robot_1,2.8,0.0,0.0,0.0,0.0,0.0
1.764,robot_1,2.8,0.0,0.0,0.0,0.0,0.0
1.768,robot_1,2.8,0.0,0.0,0.0,0.0,0.0
1.776,robot_1,2.8,0.0,0.0,0.0,0.0,0.0
1.788,robot_1,2.8,0.0,0.0,0.0,0.0,0.0
1.792,robot_1,2.8,0.0,0.0,0.0,0.0,0.0
1.796,robot_1,2.8,0.0,0.0,0.0,0.0,0.0
1.8,robot_1,2.8,0.0,0.0,0.0,0.0,0.0
1.804,robot_1,2.8,0.0,0.0,0.0,0.0,0.0
1.808,robot_1,2.8,0.0,0.0,0.0,0.0,0.0
1.812,robot_1,2.8,0.0,0.0,0.0,0.0,0.0
1.8159999999999998,robot_1,2.8,0.0,0.0,0.0,0.0,0.0
1.8239999999999998,robot_1,2.8,0.0,0.0,0.0,0.0,0.0
1.8319999999999999,robot_1,2.8,0.0,0.0,0.0,0.0,0.0
1.8359999999999999,robot_1,2.8,0.0,0.0,0.0,0.0,0.0
1.8439999999999999,robot_1,2.8,0.0,0.0,0.0,0.0,0.0
1.8479999999999999,robot_1,2.8,0.0,0.0,0.0,0.0,0.0
1.8559999999999999,robot_1,2.8,0.0,0.0,0.0,0.0,0.0
1.8599999999999999,robot_1,2.8,0.0,0.0,0.0,0.0,0.0
1.8639999999999999,robot_1,2.8,0.0,0.0,0.0,0.0,0.0
1.8679999999999999,robot_1,2.8,0.0,0.0,0.0,0.0,0.0
1.8719999999999999,robot_1,2.8,0.0,0.0,0.0,0.0,0.0
1.88,robot_1,2.8,0.0,0.0,0.0,0.0,0.0
1.884,robot_1,2.8,0.0,0.0,0.0,0.0,0.0
1.892,robot_1,2.8,0.0,0.0,0.0,0.0,0.0
1.896,robot_1,2.8,0.0,0.0,0.0,0.0,0.0
1.9,robot_1,2.8,0.0,0.0,0.0,0.0,0.0
1.908,robot_1,2.8,0.0,0.0,0.0,0.0,0.0
1.912,robot_1,2.8,0.0,0.0,0.0,0.0,0.0
