timestamp,robot,cmd_vx,cmd_vy,cmd_vz,cmd_wx,cmd_wy,cmd_wz
4.212,robot_1,0.0,-2.8,0.0,0.0,0.0,0.0
4.216,robot_1,0.0,-2.8,0.0,0.0,0.0,0.0
4.224,robot_1,0.0,-2.8,0.0,0.0,0.0,0.0
4.228,robot_1,0.0,-2.8,0.0,0.0,0.0,0.0
4.228,robot_1,0.0,-2.8,0.0,0.0,0.0,0.0
4.232,robot_1,0.0,-2.8,0.0,0.0,0.0,0.0
4.236,robot_1,0.0,-2.8,0.0,0.0,0.0,0.0
4.24,robot_1,0.0,-2.8,0.0,0.0,0.0,0.0
4.244,robot_1,0.0,-2.8,0.0,0.0,0.0,0.0
4.244,robot_1,0.0,-2.8,0.0,0.0,0.0,0.0
4.248,robot_1,0.0,-2.8,0.0,0.0,0.0,0.0
4.252,robot_1,0.0,-2.8,0.0,0.0,0.0,0.0
4.256,robot_1,0.0,-2.8,0.0,0.0,0.0,0.0
4.256,robot_1,0.0,-2.8,0.0,0.0,0.0,0.0
4.26,robot_1,0.0,-2.8,0.0,0.0,0.0,0.0
4.268,robot_1,0.0,-2.8,0.0,0.0,0.0,0.0
4.272,robot_1,0.0,-2.8,0.0,0.0,0.0,0.0
4.28,robot_1,0.0,-2.8,0.0,0.0,0.0,0.0
4.284,robot_1,0.0,-2.8,0.0,0.0,0.0,0.0
4.288,robot_1,0.0,-2.8,0.0,0.0,0.0,0.0
4.292,robot_1,0.0,-2.8,0.0,0.0,0.0,0.0
4.296,robot_1,0.0,-2.8,0.0,0.0,0.0,0.0
4.296,robot_1,0.0,-2.8,0.0,0.0,0.0,0.0
4.3,robot_1,0.0,-2.8,0.0,0.0,0.0,0.0
4.304,robot_1,0.0,-2.8,0.0,0.0,0.0,0.0
4.308,robot_1,0.0,-2.8,0.0,0.0,0.0,0.0
4.308,robot_1,0.0,-2.8,0.0,0.0,0.0,0.0
4.312,robot_1,0.0,-2.8,0.0,0.0,0.0,0.0
4.316,robot_1,0.0,-2.8,0.0,0.0,0.0,0.0
4.32,robot_1,0.0,-2.8,0.0,0.0,0.0,0.0
4.324,robot_1,0.0,-2.8,0.0,0.0,0.0,0.0
4.328,robot_1,0.0,-2.8,0.0,0.0,0.0,0.0
4.336,robot_1,0.0,-2.8,0.0,0.0,0.0,0.0
4.34,robot_1,0.0,-2.8,0.0,0.0,0.0,0.0
4.344,robot_1,0.0,-2.8,0.0,0.0,0.0,0.0
4.348,robot_1,0.0,-2.8,0.0,0.0,0.0,0.0
4.352,robot_1,0.0,-2.8,0.0,0.0,0.0,0.0
4.352,robot_1,0.0,-2.8,0.0,0.0,0.0,0.0
4.356,robot_1,0.0,-2.8,0.0,0.0,0.0,0.0
4.36,robot_1,0.0,-2.8,0.0,0.0,0.0,0.0
4.36,robot_1,0.0,-2.8,0.0,0.0,0.0,0.0
4.364,robot_1,0.0,-2.8,0.0,0.0,0.0,0.0
4.368,robot_1,0.0,-2.8,0.0,0.0,0.0,0.0
4.372,robot_1,0.0,-2.8,0.0,0.0,0.0,0.0
4.376,robot_1,0.0,-2.8,0.0,0.0,0.0,0.0
4.38,robot_1,0.0,-2.8,0.0,0.0,0.0,0.0
4.388,robot_1,0.0,-2.8,0.0,0.0,0.0,0.0
4.392,robot_1,0.0,-2.8,0.0,0.0,0.0,0.0
4.396,robot_1,0.0,-2.8,0.0,0.0,0.0,0.0
4.4,robot_1,0.0,-2.8,0.0,0.0,0.0,0.0
4.404,robot_1,0.0,-2.8,0.0,0.0,0.0,0.0
4.408,robot_1,0.0,-2.8,0.0,0.0,0.0,0.0
4.408,robot_1,0.0,-2.8,0.0,0.0,0.0,0.0
4.412,robot_1,0.0,-2.8,0.0,0.0,0.0,0.0
4.416,robot_1,0.0,-2.8,0.0,0.0,0.0,0.0
4.42,robot_1,0.0,-2.8,0.0,0.0,0.0,0.0
4.424,robot_1,0.0,-2.8,0.0,0.0,0.0,0.0
4.424,robot_1,0.0,-2.8,0.0,0.0,0.0,0.0
4.428,robot_1,0.0,-2.8,0.0,0.0,0.0,0.0
4.436,robot_1,0.0,-2.8,0.0,0.0,0.0,0.0
4.44,robot_1,0.0,-2.8,0.0,0.0,0.0,0.0
4.444,robot_1,0.0,-2.8,0.0,0.0,0.0,0.0
4.448,robot_1,0.0,-2.8,0.0,0.0,0.0,0.0
4.452,robot_1,0.0,-2.8,0.0,0.0,0.0,0.0
4.456,robot_1,0.0,-2.8,0.0,0.0,0.0,0.0
4.46,robot_1,0.0,-2.8,0.0,0.0,0.0,0.0
4.46,robot_1,0.0,-2.8,0.0,0.0,0.0,0.0
4.464,robot_1,0.0,-2.8,0.0,0.0,0.0,0.0
4.468,robot_1,0.0,-2.8,0.0,0.0,0.0,0.0
4.468,robot_1,0.0,-2.8,0.0,0.0,0.0,0.0
4.4719999999999995,robot_1,0.0,-2.8,0.0,0.0,0.0,0.0
4.476,robot_1,0.0,-2.8,0.0,0.0,0.0,0.0
4.48,robot_1,0.0,-2.8,0.0,0.0,0.0,0.0
4.484,robot_1,0.0,-2.8,0.0,0.0,0.0,0.0
4.492,robot_1,0.0,-2.8,0.0,0.0,0.0,0.0
4.496,robot_1,0.0,-2.8,0.0,0.0,0.0,0.0
4.504,robot_1,0.0,-2.8,0.0,0.0,0.0,0.0
4.504,robot_1,0.0,-2.8,0.0,0.0,0.0,0.0
4.508,robot_1,0.0,-2.8,0.0,0.0,0.0,0.0
4.5120000000000005,robot_1,0.0,-2.8,0.0,0.0,0.0,0.0
4.516,robot_1,0.0,-2.8,0.0,0.0,0.0,0.0
4.516,robot_1,0.0,-2.8,0.0,0.0,0.0,0.0
4.52,robot_1,0.0,-2.8,0.0,0.0,0.0,0.0
4.524,robot_1,0.0,-2.8,0.0,0.0,0.0,0.0
4.5280000000000005,robot_1,0.0,-2.8,0.0,0.0,0.0,0.0
4.5280000000000005,robot_1,0.0,-2.8,0.0,0.0,0.0,0.0
4.536,robot_1,0.0,-2.8,0.0,0.0,0.0,0.0
4.54,robot_1,0.0,-2.8,0.0,0.0,0.0,0.0
4.5440000000000005,robot_1,0.0,-2.8,0.0,0.0,0.0,0.0
4.552,robot_1,0.0,-2.8,0.0,0.0,0.0,0.0
4.556,robot_1,0.0,-2.8,0.0,0.0,0.0,0.0
4.5600000000000005,robot_1,0.0,-2.8,0.0,0.0,0.0,0.0
4.5600000000000005,robot_1,0.0,-2.8,0.0,0.0,0.0,0.0
4.564,robot_1,0.0,-2.8,0.0,0.0,0.0,0.0
4.568,robot_1,0.0,-2.8,0.0,0.0,0.0,0.0
4.568,robot_1,0.0,-2.8,0.0,0.0,0.0,0.0
4.572,robot_1,0.0,-2.8,0.0,0.0,0.0,0.0
4.576,robot_1,0.0,-2.8,0.0,0.0,0.0,0.0
4.58,robot_1,0.0,-2.8,0.0,0.0,0.0,0.0
4.584,robot_1,0.0,-2.8,0.0,0.0,0.0,0.0
4.588,robot_1,0.0,-2.8,0.0,0.0,0.0,0.0
4.596,robot_1,0.0,-2.8,0.0,0.0,0.0,0.0
4.6,robot_1,0.0,-2.8,0.0,0.0,0.0,0.0
4.604,robot_1,0.0,-2.8,0.0,0.0,0.0,0.0
4.608,robot_1,0.0,-2.8,0.0,0.0,0.0,0.0
4.612,robot_1,0.0,-2.8,0.0,0.0,0.0,0.0
4.616,robot_1,0.0,-2.8,0.0,0.0,0.0,0.0
4.616,robot_1,0.0,-2.8,0.0,0.0,0.0,0.0
4.62,robot_1,0.0,-2.8,0.0,0.0,0.0,0.0
4.624,robot_1,0.0,-2.8,0.0,0.0,0.0,0.0
4.628,robot_1,0.0,-2.8,0.0,0.0,0.0,0.0
4.632,robot_1,0.0,-2.8,0.0,0.0,0.0,0.0
4.636,robot_1,0.0,-2.8,0.0,0.0,0.0,0.0
