timestamp,robot,cmd_vx,cmd_vy,cmd_vz,cmd_wx,cmd_wy,cmd_wz
2.072,robot_1,0.0,0.0,0.0,0.0,0.0,2.8
2.08,robot_1,0.0,0.0,0.0,0.0,0.0,2.8
2.092,robot_1,0.0,0.0,0.0,0.0,0.0,2.8
2.1,robot_1,0.0,0.0,0.0,0.0,0.0,2.8
2.108,robot_1,0.0,0.0,0.0,0.0,0.0,2.8
2.116,robot_1,0.0,0.0,0.0,0.0,0.0,2.8
2.12,robot_1,0.0,0.0,0.0,0.0,0.0,2.8
2.128,robot_1,0.0,0.0,0.0,0.0,0.0,2.8
2.132,robot_1,0.0,0.0,0.0,0.0,0.0,2.8
2.136,robot_1,0.0,0.0,0.0,0.0,0.0,2.8
2.14,robot_1,0.0,0.0,0.0,0.0,0.0,2.8
2.144,robot_1,0.0,0.0,0.0,0.0,0.0,2.8
2.148,robot_1,0.0,0.0,0.0,0.0,0.0,2.8
2.152,robot_1,0.0,0.0,0.0,0.0,0.0,2.8
2.156,robot_1,0.0,0.0,0.0,0.0,0.0,2.8
2.16,robot_1,0.0,0.0,0.0,0.0,0.0,2.8
2.164,robot_1,0.0,0.0,0.0,0.0,0.0,2.8
2.168,robot_1,0.0,0.0,0.0,0.0,0.0,2.8
2.172,robot_1,0.0,0.0,0.0,0.0,0.0,2.8
2.176,robot_1,0.0,0.0,0.0,0.0,0.0,2.8
2.176,robot_1,0.0,0.0,0.0,0.0,0.0,2.8
2.18,robot_1,0.0,0.0,0.0,0.0,0.0,2.8
2.184,robot_1,0.0,0.0,0.0,0.0,0.0,2.8
2.188,robot_1,0.0,0.0,0.0,0.0,0.0,2.8
2.192,robot_1,0.0,0.0,0.0,0.0,0.0,2.8
2.196,robot_1,0.0,0.0,0.0,0.0,0.0,2.8
2.2,robot_1,0.0,0.0,0.0,0.0,0.0,2.8
2.204,robot_1,0.0,0.0,0.0,0.0,0.0,2.8
2.208,robot_1,0.0,0.0,0.0,0.0,0.0,2.8
2.212,robot_1,0.0,0.0,0.0,0.0,0.0,2.8
2.216,robot_1,0.0,0.0,0.0,0.0,0.0,2.8
2.22,robot_1,0.0,0.0,0.0,0.0,0.0,2.8
2.224,robot_1,0.0,0.0,0.0,0.0,0.0,2.8
2.232,robot_1,0.0,0.0,0.0,0.0,0.0,2.8
2.248,robot_1,0.0,0.0,0.0,0.0,0.0,2.8
2.2560000000000002,robot_1,0.0,0.0,0.0,0.0,0.0,2.8
2.2640000000000002,robot_1,0.0,0.0,0.0,0.0,0.0,2.8
2.268,robot_1,0.0,0.0,0.0,0.0,0.0,2.8
2.2720000000000002,robot_1,0.0,0.0,0.0,0.0,0.0,2.8
2.276,robot_1,0.0,0.0,0.0,0.0,0.0,2.8
2.2800000000000002,robot_1,0.0,0.0,0.0,0.0,0.0,2.8
2.284,robot_1,0.0,0.0,0.0,0.0,0.0,2.8
2.284,robot_1,0.0,0.0,0.0,0.0,0.0,2.8
2.288,robot_1,0.0,0.0,0.0,0.0,0.0,2.8
2.292,robot_1,0.0,0.0,0.0,0.0,0.0,2.8
2.296,robot_1,0.0,0.0,0.0,0.0,0.0,2.8
2.3,robot_1,0.0,0.0,0.0,0.0,0.0,2.8
2.304,robot_1,0.0,0.0,0.0,0.0,0.0,2.8
2.308,robot_1,0.0,0.0,0.0,0.0,0.0,2.8
2.312,robot_1,0.0,0.0,0.0,0.0,0.0,2.8
2.316,robot_1,0.0,0.0,0.0,0.0,0.0,2.8
2.32,robot_1,0.0,0.0,0.0,0.0,0.0,2.8
2.324,robot_1,0.0,0.0,0.0,0.0,0.0,2.8
2.328,robot_1,0.0,0.0,0.0,0.0,0.0,2.8
2.328,robot_1,0.0,0.0,0.0,0.0,0.0,2.8
2.332,robot_1,0.0,0.0,0.0,0.0,0.0,2.8
2.336,robot_1,0.0,0.0,0.0,0.0,0.0,2.8
2.34,robot_1,0.0,0.0,0.0,0.0,0.0,2.8
2.344,robot_1,0.0,0.0,0.0,0.0,0.0,2.8
2.348,robot_1,0.0,0.0,0.0,0.0,0.0,2.8
2.352,robot_1,0.0,0.0,0.0,0.0,0.0,2.8
2.36,robot_1,0.0,0.0,0.0,0.0,0.0,2.8
2.372,robot_1,0.0,0.0,0.0,0.0,0.0,2.8
2.38,robot_1,0.0,0.0,0.0,0.0,0.0,2.8
2.388,robot_1,0.0,0.0,0.0,0.0,0.0,2.8
2.396,robot_1,0.0,0.0,0.0,0.0,0.0,2.8
2.4,robot_1,0.0,0.0,0.0,0.0,0.0,2.8
2.404,robot_1,0.0,0.0,0.0,0.0,0.0,2.8
2.408,robot_1,0.0,0.0,0.0,0.0,0.0,2.8
2.412,robot_1,0.0,0.0,0.0,0.0,0.0,2.8
2.416,robot_1,0.0,0.0,0.0,0.0,0.0,2.8
2.42,robot_1,0.0,0.0,0.0,0.0,0.0,2.8
2.424,robot_1,0.0,0.0,0.0,0.0,0.0,2.8
2.428,robot_1,0.0,0.0,0.0,0.0,0.0,2.8
2.432,robot_1,0.0,0.0,0.0,0.0,0.0,2.8
2.436,robot_1,0.0,0.0,0.0,0.0,0.0,2.8
2.44,robot_1,0.0,0.0,0.0,0.0,0.0,2.8
2.444,robot_1,0.0,0.0,0.0,0.0,0.0,2.8
2.448,robot_1,0.0,0.0,0.0,0.0,0.0,2.8
2.452,robot_1,0.0,0.0,0.0,0.0,0.0,2.8
2.456,robot_1,0.0,0.0,0.0,0.0,0.0,2.8
2.46,robot_1,0.0,0.0,0.0,0.0,0.0,2.8
2.464,robot_1,0.0,0.0,0.0,0.0,0.0,2.8
2.468,robot_1,0.0,0.0,0.0,0.0,0.0,2.8
2.472,robot_1,0.0,0.0,0.0,0.0,0.0,2.8
2.476,robot_1,0.0,0.0,0.0,0.0,0.0,2.8
2.48,robot_1,0.0,0.0,0.0,0.0,0.0,2.8
2.488,robot_1,0.0,0.0,0.0,0.0,0.0,2.8
2.496,robot_1,0.0,0.0,0.0,0.0,0.0,2.8
2.508,robot_1,0.0,0.0,0.0,0.0,0.0,2.8
2.516,robot_1,0.0,0.0,0.0,0.0,0.0,2.8
2.52,robot_1,0.0,0.0,0.0,0.0,0.0,2.8
2.528,robot_1,0.0,0.0,0.0,0.0,0.0,2.8
2.532,robot_1,0.0,0.0,0.0,0.0,0.0,2.8
2.536,robot_1,0.0,0.0,0.0,0.0,0.0,2.8
2.54,robot_1,0.0,0.0,0.0,0.0,0.0,2.8
2.544,robot_1,0.0,0.0,0.0,0.0,0.0,2.8
2.548,robot_1,0.0,0.0,0.0,0.0,0.0,2.8
2.552,robot_1,0.0,0.0,0.0,0.0,0.0,2.8
2.556,robot_1,0.0,0.0,0.0,0.0,0.0,2.8
2.56,robot_1,0.0,0.0,0.0,0.0,0.0,2.8
2.564,robot_1,0.0,0.0,0.0,0.0,0.0,2.8
2.568,robot_1,0.0,0.0,0.0,0.0,0.0,2.8
2.572,robot_1,0.0,0.0,0.0,0.0,0.0,2.8
2.576,robot_1,0.0,0.0,0.0,0.0,0.0,2.8
2.58,robot_1,0.0,0.0,0.0,0.0,0.0,2.8
2.584,robot_1,0.0,0.0,0.0,0.0,0.0,2.8
2.588,robot_1,0.0,0.0,0.0,0.0,0.0,2.8
2.592,robot_1,0.0,0.0,0.0,0.0,0.0,2.8
2.596,robot_1,0.0,0.0,0.0,0.0,0.0,2.8
2.6879999999999997,robot_1,0.0,0.0,0.0,0.0,0.0,0.0
