timestamp,robot,cmd_vx,cmd_vy,cmd_vz,cmd_wx,cmd_wy,cmd_wz
3.056,robot_1,0.0,-2.8,0.0,0.0,0.0,0.0
3.064,robot_1,0.0,-2.8,0.0,0.0,0.0,0.0
3.068,robot_1,0.0,-2.8,0.0,0.0,0.0,0.0
3.072,robot_1,0.0,-2.8,0.0,0.0,0.0,0.0
3.076,robot_1,0.0,-2.8,0.0,0.0,0.0,0.0
3.08,robot_1,0.0,-2.8,0.0,0.0,0.0,0.0
3.08,robot_1,0.0,-2.8,0.0,0.0,0.0,0.0
3.084,robot_1,0.0,-2.8,0.0,0.0,0.0,0.0
3.088,robot_1,0.0,-2.8,0.0,0.0,0.0,0.0
3.092,robot_1,0.0,-2.8,0.0,0.0,0.0,0.0
3.092,robot_1,0.0,-2.8,0.0,0.0,0.0,0.0
3.096,robot_1,0.0,-2.8,0.0,0.0,0.0,0.0
3.1,robot_1,0.0,-2.8,0.0,0.0,0.0,0.0
3.104,robot_1,0.0,-2.8,0.0,0.0,0.0,0.0
3.112,robot_1,0.0,-2.8,0.0,0.0,0.0,0.0
3.12,robot_1,0.0,-2.8,0.0,0.0,0.0,0.0
3.124,robot_1,0.0,-2.8,0.0,0.0,0.0,0.0
3.128,robot_1,0.0,-2.8,0.0,0.0,0.0,0.0
3.128,robot_1,0.0,-2.8,0.0,0.0,0.0,0.0
3.132,robot_1,0.0,-2.8,0.0,0.0,0.0,0.0
3.136,robot_1,0.0,-2.8,0.0,0.0,0.0,0.0
3.14,robot_1,0.0,-2.8,0.0,0.0,0.0,0.0
3.144,robot_1,0.0,-2.8,0.0,0.0,0.0,0.0
3.148,robot_1,0.0,-2.8,0.0,0.0,0.0,0.0
3.148,robot_1,0.0,-2.8,0.0,0.0,0.0,0.0
3.152,robot_1,0.0,-2.8,0.0,0.0,0.0,0.0
3.16,robot_1,0.0,-2.8,0.0,0.0,0.0,0.0
3.164,robot_1,0.0,-2.8,0.0,0.0,0.0,0.0
3.172,robot_1,0.0,-2.8,0.0,0.0,0.0,0.0
3.176,robot_1,0.0,-2.8,0.0,0.0,0.0,0.0
3.18,robot_1,0.0,-2.8,0.0,0.0,0.0,0.0
3.184,robot_1,0.0,-2.8,0.0,0.0,0.0,0.0
3.188,robot_1,0.0,-2.8,0.0,0.0,0.0,0.0
3.192,robot_1,0.0,-2.8,0.0,0.0,0.0,0.0
3.196,robot_1,0.0,-2.8,0.0,0.0,0.0,0.0
3.2,robot_1,0.0,-2.8,0.0,0.0,0.0,0.0
