timestamp,robot,cmd_vx,cmd_vy,cmd_vz,cmd_wx,cmd_wy,cmd_wz
1.312,robot_1,0.0,-2.8,0.0,0.0,0.0,0.0
1.316,robot_1,0.0,-2.8,0.0,0.0,0.0,0.0
1.324,robot_1,0.0,-2.8,0.0,0.0,0.0,0.0
1.328,robot_1,0.0,-2.8,0.0,0.0,0.0,0.0
1.332,robot_1,0.0,-2.8,0.0,0.0,0.0,0.0
1.336,robot_1,0.0,-2.8,0.0,0.0,0.0,0.0
1.34,robot_1,0.0,-2.8,0.0,0.0,0.0,0.0
1.34,robot_1,0.0,-2.8,0.0,0.0,0.0,0.0
1.3439999999999999,robot_1,0.0,-2.8,0.0,0.0,0.0,0.0
1.3479999999999999,robot_1,0.0,-2.8,0.0,0.0,0.0,0.0
1.3519999999999999,robot_1,0.0,-2.8,0.0,0.0,0.0,0.0
1.3519999999999999,robot_1,0.0,-2.8,0.0,0.0,0.0,0.0
1.3559999999999999,robot_1,0.0,-2.8,0.0,0.0,0.0,0.0
1.3599999999999999,robot_1,0.0,-2.8,0.0,0.0,0.0,0.0
1.3639999999999999,robot_1,0.0,-2.8,0.0,0.0,0.0,0.0
1.3719999999999999,robot_1,0.0,-2.8,0.0,0.0,0.0,0.0
1.376,robot_1,0.0,-2.8,0.0,0.0,0.0,0.0
1.384,robot_1,0.0,-2.8,0.0,0.0,0.0,0.0
1.384,robot_1,0.0,-2.8,0.0,0.0,0.0,0.0
1.388,robot_1,0.0,-2.8,0.0,0.0,0.0,0.0
1.392,robot_1,0.0,-2.8,0.0,0.0,0.0,0.0
1.396,robot_1,0.0,-2.8,0.0,0.0,0.0,0.0
1.4,robot_1,0.0,-2.8,0.0,0.0,0.0,0.0
1.4,robot_1,0.0,-2.8,0.0,0.0,0.0,0.0
1.404,robot_1,0.0,-2.8,0.0,0.0,0.0,0.0
1.408,robot_1,0.0,-2.8,0.0,0.0,0.0,0.0
1.412,robot_1,0.0,-2.8,0.0,0.0,0.0,0.0
1.416,robot_1,0.0,-2.8,0.0,0.0,0.0,0.0
1.42,robot_1,0.0,-2.8,0.0,0.0,0.0,0.0
1.424,robot_1,0.0,-2.8,0.0,0.0,0.0,0.0
1.432,robot_1,0.0,-2.8,0.0,0.0,0.0,0.0
1.436,robot_1,0.0,-2.8,0.0,0.0,0.0,0.0
1.436,robot_1,0.0,-2.8,0.0,0.0,0.0,0.0
1.44,robot_1,0.0,-2.8,0.0,0.0,0.0,0.0
1.444,robot_1,0.0,-2.8,0.0,0.0,0.0,0.0
1.448,robot_1,0.0,-2.8,0.0,0.0,0.0,0.0
1.452,robot_1,0.0,-2.8,0.0,0.0,0.0,0.0
1.456,robot_1,0.0,-2.8,0.0,0.0,0.0,0.0
1.456,robot_1,0.0,-2.8,0.0,0.0,0.0,0.0
1.46,robot_1,0.0,-2.8,0.0,0.0,0.0,0.0
1.464,robot_1,0.0,-2.8,0.0,0.0,0.0,0.0
1.468,robot_1,0.0,-2.8,0.0,0.0,0.0,0.0
1.472,robot_1,0.0,-2.8,0.0,0.0,0.0,0.0
1.476,robot_1,0.0,-2.8,0.0,0.0,0.0,0.0
1.48,robot_1,0.0,-2.8,0.0,0.0,0.0,0.0
1.484,robot_1,0.0,-2.8,0.0,0.0,0.0,0.0
1.488,robot_1,0.0,-2.8,0.0,0.0,0.0,0.0
1.492,robot_1,0.0,-2.8,0.0,0.0,0.0,0.0
1.496,robot_1,0.0,-2.8,0.0,0.0,0.0,0.0
1.5,robot_1,0.0,-2.8,0.0,0.0,0.0,0.0
1.504,robot_1,0.0,-2.8,0.0,0.0,0.0,0.0
1.508,robot_1,0.0,-2.8,0.0,0.0,0.0,0.0
1.508,robot_1,0.0,-2.8,0.0,0.0,0.0,0.0
1.512,robot_1,0.0,-2.8,0.0,0.0,0.0,0.0
1.516,robot_1,0.0,-2.8,0.0,0.0,0.0,0.0
1.52,robot_1,0.0,-2.8,0.0,0.0,0.0,0.0
1.524,robot_1,0.0,-2.8,0.0,0.0,0.0,0.0
1.528,robot_1,0.0,-2.8,0.0,0.0,0.0,0.0
1.532,robot_1,0.0,-2.8,0.0,0.0,0.0,0.0
1.536,robot_1,0.0,-2.8,0.0,0.0,0.0,0.0
1.54,robot_1,0.0,-2.8,0.0,0.0,0.0,0.0
1.544,robot_1,0.0,-2.8,0.0,0.0,0.0,0.0
1.548,robot_1,0.0,-2.8,0.0,0.0,0.0,0.0
1.552,robot_1,0.0,-2.8,0.0,0.0,0.0,0.0
1.556,robot_1,0.0,-2.8,0.0,0.0,0.0,0.0
1.56,robot_1,0.0,-2.8,0.0,0.0,0.0,0.0
